transaction_id,user_id,amount,city
1,14,1161.94,Lisbon
2,8,2202.82,Madrid
3,77,4176.39,Madrid
4,95,659.22,Madrid
5,20,586.33,Sao Paulo
6,21,3083.54,Lisbon
7,41,4232.74,Rio
8,13,3170.03,Rio
9,65,3960.83,Lisbon
10,24,2888.8,Madrid
11,4,1808.86,Madrid
12,47,1178.01,Sao Paulo
13,66,1995.99,Rio
14,94,4103.73,Lisbon
15,68,1477.29,Madrid
16,5,2947.09,Rio
17,31,1311.6,Lisbon
18,98,3582.88,Rio
19,58,2648.15,Lisbon
20,42,1916.85,Sao Paulo
21,33,3793.3,Lisbon
22,45,1150.23,Madrid
23,64,1996.22,Rio
24,34,2222.35,Madrid
25,62,984.45,Rio
26,90,871.79,Lisbon
27,82,2878.63,Rio
28,10,3394.75,Sao Paulo
29,68,4735.46,Madrid
30,99,1235.51,Madrid
31,94,3788.69,Lisbon
32,61,3097.27,Lisbon
33,40,4401.15,Madrid
34,29,4831.33,Sao Paulo
35,42,4190.46,Madrid
36,44,1994.87,Rio
37,59,4310.94,Sao Paulo
38,30,275.54,Sao Paulo
39,53,215.34,Lisbon
40,6,4248.23,Lisbon
41,7,4204.4,Madrid
42,32,2054.19,Sao Paulo
43,38,3441.54,Lisbon
44,46,4871.08,Lisbon
45,71,4325.89,Sao Paulo
46,90,4205.94,Rio
47,59,369.44,Lisbon
48,8,79.21,Rio
49,60,2876.86,Rio
50,64,599.98,Lisbon
51,64,2905.01,Madrid
52,47,4697.67,Rio
53,92,3321.53,Sao Paulo
54,52,744.5,Lisbon
55,59,3876.33,Lisbon
56,11,4462.71,Sao Paulo
57,4,246.67,Lisbon
58,5,792.68,Madrid
59,11,1424.45,Sao Paulo
60,25,4327.03,Lisbon
61,44,1431.07,Madrid
62,38,3981.69,Rio
63,72,3988.05,Sao Paulo
64,3,1582.26,Madrid
65,45,3769.8,Rio
66,48,1866.07,Sao Paulo
67,63,3080.68,Lisbon
68,30,834.43,Lisbon
69,84,3954.3,Rio
70,89,45.82,Rio
71,90,1868.27,Rio
72,51,3162.68,Lisbon
73,68,4393.22,Lisbon
74,85,1104.67,Madrid
75,81,1984.93,Rio
76,73,3217.31,Lisbon
77,45,3739.44,Madrid
78,10,645.32,Madrid
79,40,1724.05,Madrid
80,13,3037.67,Sao Paulo
81,51,4891.35,Madrid
82,97,2708.5,Madrid
83,40,3178.56,Madrid
84,50,1495.15,Lisbon
85,88,3823.03,Sao Paulo
86,11,3025.17,Lisbon
87,48,1582.49,Lisbon
88,74,2524.11,Madrid
89,79,2656.13,Lisbon
90,82,4167.08,Sao Paulo
91,64,3483.24,Sao Paulo
92,87,1297.94,Madrid
93,64,1640.05,Madrid
94,20,825.42,Sao Paulo
95,62,4860.72,Rio
96,1,4084.37,Sao Paulo
97,93,3914.41,Madrid
98,92,4483.58,Sao Paulo
99,74,3003.71,Sao Paulo
100,23,1672.23,Sao Paulo
101,31,1579.71,Madrid
102,91,4001.83,Rio
103,2,1148.57,Lisbon
104,62,1953.07,Lisbon
